ID,Timestamp,ax,ay,az,gx,gy,gz,Label,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads
354,353921,2268,-1636.0,15148.0,-220.0,96.0,-136.0,meja,1.3575123413085937,-0.9792284790039062,9.066841687011719,-0.029310872934255914,0.0127901990985844,-0.018119448722994567
355,354923,2052,-1304.0,15136.0,-536.0,45.0,-409.0,meja,1.2282254516601563,-0.7805097412109374,9.05965908203125,-0.07141194496709623,0.005995405827461438,-0.054491577409593955
356,355926,2420,-1548.0,15084.0,-64.0,300.0,-129.0,meja,1.448492004394531,-0.9265560424804687,9.028534460449219,-0.008526799399056265,0.039969372183076245,-0.017186830038722786
357,356928,2336,-1364.0,15204.0,10.0,170.0,-147.0,meja,1.39821376953125,-0.8164227661132812,9.100360510253905,0.0013323124061025418,0.022649310903743208,-0.01958499236970736
358,357930,2276,-1376.0,15088.0,-38.0,105.0,-167.0,meja,1.3623007446289062,-0.82360537109375,9.030928662109375,-0.005062787143189658,0.013989280264076687,-0.022249617181912446
359,358933,2216,-1140.0,15200.0,-133.0,209.0,-344.0,meja,1.3263877197265623,-0.6823474731445313,9.09796630859375,-0.017719755001163805,0.027845329287543123,-0.04583154676992743
375,374971,-8524,-13944.0,-3588.0,1236.0,726.0,-299.0,mulut,-5.102043737792968,-8.346186987304687,-2.147598889160156,0.16467381339427414,0.09672588068304452,-0.03983614094246599
376,375973,-8340,-13888.0,-3188.0,203.0,389.0,-86.0,mulut,-4.991910461425781,-8.312668164062499,-1.908178723144531,0.027045941843881597,0.05182695259738887,-0.011457886692481857
377,376975,-8688,-13744.0,-3308.0,39.0,487.0,41.0,mulut,-5.200206005859375,-8.226476904296874,-1.9800047729492187,0.005196018383799912,0.06488361417719378,0.005462480865020421
378,377978,-8640,-13796.0,-2436.0,1922.0,429.0,916.0,mulut,-5.1714755859374995,-8.257601525878906,-1.458068811035156,0.2560704444529085,0.057156202221799034,0.1220398163989928
379,378980,-9336,-12948.0,-2244.0,-525.0,54.0,-281.0,mulut,-5.588066674804687,-7.750030773925781,-1.3431471313476562,-0.06994640132038345,0.007194486992953725,-0.03743797861148142
380,379983,-9272,-13332.0,-2504.0,118.0,323.0,-146.0,mulut,-5.549759448242187,-7.979874133300781,-1.4987702392578124,0.01572128639200999,0.0430336907171121,-0.01945176112909711
381,380985,-9380,-13148.0,-2524.0,75.0,250.0,20.0,mulut,-5.614402893066406,-7.869740856933594,-1.5107412475585937,0.009992343045769061,0.033307810152563545,0.0026646248122050836
382,381987,-9480,-12992.0,-2556.0,-317.0,-527.0,46.0,mulut,-5.674257934570313,-7.7763669921875,-1.5298948608398437,-0.04223430327345057,-0.07021286380160395,0.006128637068071691
383,382990,-9016,-13440.0,-1956.0,-1224.0,-1550.0,-202.0,mulut,-5.396530541992187,-8.044517578125,-1.1707646118164061,-0.1630750385069511,-0.20650842294589394,-0.02691271060327134
384,383992,-9124,-13664.0,-2184.0,-5.0,256.0,-185.0,mulut,-5.461173986816406,-8.17859287109375,-1.3072341064453123,-0.0006661562030512709,0.03410719759622506,-0.02464777951289702
385,384994,-9524,-13188.0,-1744.0,437.0,-232.0,169.0,mulut,-5.700594152832031,-7.893682873535155,-1.0438719238281249,0.05822205214668107,-0.030909647821578966,0.022516079663132953
386,385997,-2304,-14992.0,5848.0,15161.0,15626.0,-27713.0,mulut,-1.37906015625,-8.973467822265624,3.5003228271484375,2.0199188388920635,2.0818713657758314,-3.6922373710319736
401,401032,-6560,-14844.0,4924.0,-1248.0,-1508.0,42.0,kepala_depan,-3.9264907226562498,-8.884882360839843,2.9472622436523435,-0.1662725882815972,-0.20091271084026327,0.005595712105630674
402,402035,-6212,-14192.0,4648.0,-392.0,536.0,549.0,kepala_depan,-3.718195178222656,-8.494627490234375,2.7820623291015623,-0.05222664631921963,0.07141194496709623,0.07314395109502954
403,403037,-7888,-15512.0,716.0,2479.0,-1477.0,432.0,kepala_depan,-4.721365673828124,-9.284714038085937,0.4285620971679687,0.33028024547282003,-0.1967825423813454,0.0575558959436298
404,404040,-7316,-14112.0,1364.0,-522.0,422.0,-682.0,kepala_depan,-4.378994836425781,-8.44674345703125,0.8164227661132812,-0.06954670759855268,0.05622358353752725,-0.09086370609619333
405,405042,-6804,-14496.0,1988.0,-18.0,154.0,-252.0,kepala_depan,-4.072537023925781,-8.67658681640625,1.189918225097656,-0.002398162330984575,0.020517611053979142,-0.03357427263378405
406,406044,-6740,-14520.0,1892.0,-174.0,147.0,-25.0,kepala_depan,-4.034229797363281,-8.690952026367187,1.1324573852539062,-0.023182235866184224,0.01958499236970736,-0.0033307810152563544
407,407047,-6880,-14360.0,2108.0,-97.0,143.0,-183.0,kepala_depan,-4.11802685546875,-8.595183959960938,1.2617442749023438,-0.012923430339194655,0.019052067407266345,-0.02438131703167651
408,408049,-6964,-14548.0,1836.0,-185.0,10.0,-116.0,kepala_depan,-4.168305090332031,-8.70771143798828,1.0989385620117187,-0.02464777951289702,0.0013323124061025418,-0.015454823910789483
409,409051,-7052,-14292.0,2020.0,208.0,142.0,-139.0,kepala_depan,-4.220977526855468,-8.55448253173828,1.209071838378906,0.027712098046932865,0.018918836166656093,-0.01851914244482533
410,410054,-7076,-14444.0,2080.0,51.0,51.0,-180.0,kepala_depan,-4.235342736816406,-8.645462194824217,1.24498486328125,0.006794793271122962,0.006794793271122962,-0.02398162330984575
411,411056,-7000,-14540.0,2048.0,209.0,211.0,-173.0,kepala_depan,-4.189852905273438,-8.702923034667968,1.22583125,0.027845329287543123,0.028111791768763626,-0.023049004625573973
412,412059,-7100,-14260.0,2224.0,-141.0,380.0,-59.0,kepala_depan,-4.2497079467773435,-8.535328918457031,1.3311761230468748,-0.018785604926045835,0.05062787143189658,-0.007860643196004996
413,413061,-7368,-14000.0,2560.0,-216.0,107.0,-109.0,kepala_depan,-4.410119458007812,-8.379705810546875,1.5322890624999999,-0.0287779479718149,0.014255742745297196,-0.014522205226517705
414,414063,-7428,-14136.0,1436.0,-149.0,250.0,90.0,kepala_depan,-4.446032482910156,-8.461108666992187,0.8595183959960937,-0.01985145485092787,0.033307810152563545,0.011990811654922875
415,415066,-7664,-14568.0,1876.0,239.0,81.0,-272.0,kepala_depan,-4.587290380859375,-8.719682446289061,1.1228805786132812,0.031842266505850744,0.010791730489430587,-0.036238897445989134
416,416068,-7596,-14024.0,1688.0,166.0,271.0,-20.0,kepala_depan,-4.546588952636719,-8.394071020507813,1.0103531005859374,0.022116385941302188,0.036105666205378875,-0.0026646248122050836
417,417070,-7668,-14200.0,1792.0,385.0,-50.0,-230.0,kepala_depan,-4.589684582519531,-8.499415893554687,1.0726023437499999,0.05129402763494785,-0.006661562030512709,-0.03064318534035846
418,418073,-7736,-14056.0,1700.0,-713.0,-123.0,-340.0,kepala_depan,-4.630386010742187,-8.413224633789062,1.0175357055664063,-0.09499387455511121,-0.016387442595061263,-0.045298621807486415
431,431104,-2664,14484.0,-2168.0,-8197.0,10035.0,16331.0,kepala_belakang,-1.5945383056640625,8.66940421142578,-1.2976572998046874,-1.0920964792822534,1.3369754995239005,2.175799390406061
